Sales,Discount,Quantity,Shipping_Cost,Category,Market,Segment,Ship_Mode,Region,Month_Num,Quarter,Profit_Margin,Profit,Scenario
475,0.0,5,54.1,Office Supplies,EMEA,Consumer,First Class,Central,4,2,12.713599654457706,60.39,normal
264,0.7,5,0.0,Office Supplies,EU,Home Office,Standard Class,Central Asia,9,3,-19.24207447294831,-50.8,normal
194,0.0,1,65.42,Technology,LATAM,Consumer,Standard Class,Central,2,1,19.25715220426038,37.36,normal
265,0.0,6,49.79,Office Supplies,EMEA,Consumer,Second Class,Central,2,1,16.839796633983433,44.63,normal
50,0.7,1,8.74,Technology,US,Consumer,Standard Class,South,6,2,-20.586669657994012,-10.29,normal
206,0.0,6,0.0,Office Supplies,EU,Corporate,Second Class,EMEA,10,4,10.735950164044358,22.12,normal
328,0.0,6,0.0,Furniture,EU,Consumer,Standard Class,Central,9,3,17.256875727366094,56.6,normal
804,0.0,1,57.02,Office Supplies,APAC,Corporate,Standard Class,Africa,7,3,7.473128464514772,60.08,normal
162,0.2,3,96.79,Office Supplies,US,Consumer,Standard Class,EMEA,9,3,0.6937007698844386,1.12,normal
129,0.0,1,0.0,Technology,LATAM,Consumer,Standard Class,Central,6,2,16.6229049804633,21.44,normal
165,0.0,3,52.64,Office Supplies,Canada,Consumer,First Class,South,12,4,16.74517009491152,27.63,normal
512,0.3,3,0.0,Office Supplies,EU,Home Office,Standard Class,Southeast Asia,2,1,-2.3438452015755367,-12.0,normal
320,0.0,5,0.0,Furniture,EU,Home Office,First Class,Oceania,10,4,11.49955577790482,36.8,normal
161,0.2,6,24.6,Office Supplies,EU,Consumer,Standard Class,West,12,4,2.9640079661168284,4.77,normal
371,0.0,7,0.0,Technology,Africa,Consumer,Standard Class,West,11,4,15.065930929432295,55.89,normal
266,0.4,2,0.0,Office Supplies,US,Consumer,Standard Class,South,4,2,-13.49169718345252,-35.89,normal
535,0.0,3,0.0,Technology,EU,Consumer,Standard Class,Central,6,2,20.17953486700818,107.96,normal
140,0.3,1,43.12,Office Supplies,US,Consumer,Standard Class,South,10,4,-0.9188816623914442,-1.29,normal
189,0.0,2,15.64,Office Supplies,EU,Home Office,Standard Class,East,2,1,19.753483125471178,37.33,normal
180,0.0,6,0.0,Technology,EU,Home Office,First Class,Caribbean,11,4,15.629948709554377,28.13,normal
76,0.0,7,0.0,Office Supplies,APAC,Consumer,Standard Class,North,10,4,17.078445630902767,12.98,normal
312,0.0,1,0.0,Office Supplies,EU,Consumer,Standard Class,Central,10,4,14.148879814905804,44.14,normal
303,0.0,2,52.6,Office Supplies,LATAM,Home Office,First Class,Central,3,1,18.571424955580447,56.27,normal
247,0.0,3,0.0,Office Supplies,Africa,Corporate,Second Class,South,10,4,18.065888330034426,44.62,normal
204,0.6,4,0.0,Office Supplies,LATAM,Consumer,Standard Class,Africa,10,4,-20.36637180232663,-41.55,normal
79,0.0,2,0.0,Office Supplies,Africa,Consumer,Standard Class,Central,11,4,13.98140953000204,11.05,normal
176,0.0,4,105.92,Furniture,EU,Consumer,First Class,Central Asia,1,1,14.882796535824784,26.19,normal
187,0.2,2,4.32,Office Supplies,US,Consumer,Standard Class,EMEA,1,1,4.940713569769697,9.24,normal
129,0.1,3,48.32,Office Supplies,EU,Consumer,Standard Class,North Asia,6,2,6.946678793741452,8.96,normal
216,0.0,5,34.47,Office Supplies,APAC,Consumer,Standard Class,Southeast Asia,3,1,11.016603979561708,23.8,normal
340,0.0,3,0.0,Office Supplies,LATAM,Corporate,First Class,West,9,3,14.13440129795461,48.06,normal
1114,0.0,2,70.39,Furniture,APAC,Consumer,Standard Class,Africa,12,4,16.546241446044625,184.33,normal
283,0.1,3,38.72,Office Supplies,US,Consumer,Same Day,Africa,7,3,12.439461476199115,35.2,normal
302,0.1,3,55.5,Furniture,EU,Consumer,Standard Class,Oceania,11,4,2.663017590988258,8.04,normal
232,0.0,3,251.34,Office Supplies,US,Corporate,Second Class,Oceania,1,1,11.496727752300236,26.67,normal
53,0.7,3,0.0,Technology,LATAM,Home Office,Standard Class,Africa,4,2,-20.175948450961542,-10.69,normal
241,0.6,7,125.2,Office Supplies,APAC,Consumer,Standard Class,Caribbean,1,1,-24.406907714273487,-58.82,normal
258,0.2,5,9.91,Furniture,LATAM,Consumer,First Class,West,6,2,1.5278859709260237,3.94,normal
1768,0.7,3,42.84,Office Supplies,Africa,Home Office,Standard Class,Southeast Asia,12,4,-28.848213646008972,-510.04,normal
211,0.0,5,23.77,Office Supplies,US,Consumer,Standard Class,East,3,1,19.851134773565047,41.89,normal
313,0.0,3,2.07,Office Supplies,EU,Consumer,Standard Class,Central,9,3,12.688725602586363,39.72,normal
239,0.0,6,0.0,Office Supplies,EU,Consumer,Standard Class,Central,8,3,18.430084590617483,44.05,normal
96,0.0,4,45.26,Furniture,APAC,Consumer,Standard Class,North,12,4,12.554575962181094,12.05,normal
614,0.0,3,0.0,Office Supplies,Africa,Consumer,Second Class,North,3,1,15.75658456270286,96.75,normal
449,0.47,4,69.38,Office Supplies,US,Home Office,Standard Class,East,5,2,-19.110925744054203,-85.81,normal
464,0.0,1,2.53,Technology,LATAM,Corporate,Standard Class,EMEA,1,1,11.391259940382845,52.86,normal
119,0.0,1,0.0,Office Supplies,EU,Consumer,Standard Class,Africa,7,3,14.338302179198058,17.06,normal
757,0.0,1,0.59,Furniture,APAC,Home Office,Second Class,North,5,2,12.740718190249835,96.45,normal
80,0.47,4,98.41,Technology,Africa,Consumer,Second Class,Central,11,4,-13.575593483213169,-10.86,normal
394,0.0,7,0.0,Office Supplies,APAC,Consumer,Standard Class,Africa,9,3,11.733919768570974,46.23,normal
1421,0.0,9,46.91,Furniture,US,Corporate,Standard Class,East,9,3,13.684417889478398,194.46,normal
111,0.0,5,0.0,Office Supplies,LATAM,Corporate,First Class,Central,8,3,16.688563441371393,18.52,normal
156,0.0,5,69.8,Office Supplies,US,Consumer,Standard Class,Africa,2,1,14.586776818836219,22.76,normal
266,0.25,1,65.65,Office Supplies,US,Consumer,First Class,Africa,7,3,2.340605163558225,6.23,normal
164,0.27,2,132.3,Office Supplies,US,Corporate,First Class,Central,12,4,-4.722606887160443,-7.75,normal
71,0.0,2,16.32,Technology,US,Corporate,Second Class,Central,11,4,16.932195248739088,12.02,normal
260,0.002,2,64.69,Furniture,EMEA,Corporate,Standard Class,Caribbean,12,4,16.82363281735102,43.74,normal
105,0.2,3,31.99,Office Supplies,APAC,Consumer,First Class,EMEA,11,4,3.2049663898194525,3.37,normal
360,0.7,2,100.63,Office Supplies,LATAM,Consumer,Second Class,South,3,1,-26.621062456239002,-95.84,normal
118,0.0,1,0.0,Furniture,LATAM,Consumer,Standard Class,Central,5,2,18.91783975790322,22.32,normal
851,0.0,5,69.06,Office Supplies,Africa,Consumer,Standard Class,Oceania,1,1,10.801973502453688,91.92,normal
131,0.0,1,15.22,Office Supplies,LATAM,Home Office,Standard Class,Africa,6,2,17.389291099926332,22.78,normal
190,0.1,4,22.7,Office Supplies,US,Consumer,Standard Class,Oceania,3,1,13.9919588394243,26.58,normal
472,0.0,8,31.63,Furniture,US,Consumer,Standard Class,Central,8,3,11.025426220504361,52.04,normal
92,0.0,1,40.83,Office Supplies,APAC,Corporate,Standard Class,North Asia,10,4,17.578892360564538,16.17,normal
295,0.0,1,19.72,Technology,LATAM,Consumer,Standard Class,EMEA,11,4,15.053941508367286,44.41,normal
701,0.1,3,38.68,Furniture,LATAM,Consumer,Standard Class,South,10,4,3.9398028132979452,27.62,normal
68,0.0,6,116.8,Office Supplies,LATAM,Corporate,Standard Class,North,12,4,16.154899248142904,10.99,normal
285,0.1,8,82.84,Office Supplies,LATAM,Home Office,Second Class,EMEA,2,1,11.39570001933177,32.48,normal
303,0.3,1,76.18,Furniture,APAC,Corporate,First Class,East,1,1,-2.6371904627812626,-7.99,normal
460,0.0,5,0.27,Office Supplies,EMEA,Consumer,Standard Class,Central Asia,9,3,19.70888576081848,90.66,normal
91,0.1,2,0.0,Technology,Africa,Corporate,Standard Class,South,6,2,11.797660324334453,10.74,normal
85,0.0,3,81.11,Furniture,LATAM,Corporate,Standard Class,East,5,2,15.580835265517763,13.24,normal
374,0.7,10,76.57,Technology,LATAM,Consumer,Second Class,Southeast Asia,6,2,-25.026914530347447,-93.6,normal
312,0.0,1,110.76,Technology,APAC,Consumer,Second Class,Central Asia,5,2,20.706273934764805,64.6,normal
301,0.1,4,0.0,Technology,US,Home Office,First Class,South,8,3,12.622466393556545,37.99,normal
325,0.6,5,13.22,Furniture,EMEA,Consumer,Standard Class,Africa,7,3,-22.66296627875423,-73.65,normal
143,0.15,6,0.0,Office Supplies,APAC,Corporate,Same Day,South,8,3,7.270523622066112,10.4,normal
296,0.1,4,3.89,Office Supplies,APAC,Consumer,Standard Class,East,10,4,4.185884970606564,12.39,normal
311,0.0,4,83.48,Office Supplies,US,Consumer,Second Class,Central,6,2,11.62763442341768,36.16,normal
139,0.2,3,0.0,Technology,US,Consumer,Standard Class,Africa,5,2,6.307624319452567,8.77,normal
1096,0.7,4,63.07,Office Supplies,APAC,Home Office,First Class,South,4,2,-32.0618372389235,-351.4,normal
360,0.2,3,15.46,Technology,US,Consumer,Standard Class,South,6,2,8.493633309599268,30.58,normal
95,0.0,5,44.94,Office Supplies,LATAM,Corporate,Second Class,Oceania,10,4,17.614667898864425,16.73,normal
416,0.47,3,0.0,Technology,LATAM,Corporate,First Class,East,11,4,-9.218488341366628,-38.35,normal
113,0.1,4,31.26,Office Supplies,US,Corporate,Standard Class,Africa,10,4,5.636597961726234,6.37,normal
462,0.1,3,0.0,Technology,EMEA,Home Office,Standard Class,East,5,2,16.140416816605544,74.57,normal
622,0.0,6,15.67,Office Supplies,LATAM,Corporate,First Class,South,9,3,21.111631919155073,131.31,normal
127,0.2,3,0.0,Office Supplies,Africa,Consumer,Standard Class,North,9,3,3.441230482337922,4.37,normal
532,0.0,1,95.48,Office Supplies,LATAM,Home Office,Standard Class,North,8,3,16.53160613535371,87.95,normal
342,0.2,6,70.92,Technology,US,Corporate,Standard Class,Central,9,3,6.605215964388131,22.59,normal
475,0.0,1,53.11,Office Supplies,EU,Consumer,Standard Class,Africa,8,3,16.5911075669964,78.81,normal
1124,0.2,2,113.52,Office Supplies,EMEA,Consumer,Standard Class,Oceania,9,3,2.6413237301208117,29.69,normal
202,0.65,2,0.0,Furniture,Africa,Home Office,Standard Class,Africa,10,4,-27.10369271953141,-54.75,normal
134,0.0,7,126.49,Technology,APAC,Consumer,Standard Class,West,3,1,20.717152801492098,27.76,normal
120,0.45,1,79.79,Furniture,Africa,Corporate,Standard Class,Africa,10,4,-7.963127514310678,-9.56,normal
128,0.0,11,12.82,Office Supplies,EMEA,Consumer,First Class,Central,3,1,10.799786296794784,13.82,normal
231,0.7,6,91.44,Office Supplies,US,Consumer,Same Day,Central,2,1,-27.3114374532089,-63.09,normal
323,0.4,4,0.0,Furniture,APAC,Corporate,Second Class,Africa,12,4,-15.541381455696246,-50.2,normal
307,0.2,3,0.0,Office Supplies,EMEA,Consumer,Standard Class,South,12,4,7.7760746957282505,23.87,normal
477,0.1,4,0.0,Technology,EMEA,Consumer,First Class,Central,2,1,10.236786092040305,48.83,normal
249,0.5,5,0.0,Office Supplies,LATAM,Corporate,Standard Class,EMEA,7,3,-19.329602381357383,-48.13,normal
788,0.0,5,0.0,Office Supplies,Africa,Consumer,Standard Class,Africa,4,2,16.91456099654572,133.29,normal
199,0.0,5,96.45,Office Supplies,APAC,Corporate,First Class,South,8,3,20.232933344229334,40.26,normal
2172,0.1,4,11.54,Office Supplies,APAC,Home Office,Second Class,West,11,4,10.990793605682288,238.72,normal
406,0.6,3,46.57,Office Supplies,EU,Corporate,Second Class,Oceania,12,4,-20.38560636815425,-82.77,normal
124,0.4,3,0.0,Office Supplies,EU,Consumer,Second Class,South,9,3,-7.7725772316720185,-9.64,normal
104,0.4,3,0.0,Furniture,US,Consumer,Standard Class,West,6,2,-7.755478011523335,-8.07,normal
362,0.0,6,41.85,Office Supplies,APAC,Corporate,Standard Class,Oceania,9,3,12.37740218995755,44.81,normal
206,0.6,5,0.0,Technology,Africa,Home Office,Second Class,Oceania,6,2,-18.33554131225894,-37.77,normal
436,0.0,1,22.44,Furniture,APAC,Home Office,Standard Class,Africa,12,4,10.6419295544714,46.4,normal
359,0.0,5,0.0,Office Supplies,APAC,Home Office,Standard Class,Central,11,4,11.496404078124868,41.27,normal
232,0.0,4,140.24,Office Supplies,APAC,Consumer,Second Class,West,9,3,14.014874221749594,32.51,normal
125,0.0,3,78.59,Technology,EU,Consumer,Second Class,EMEA,6,2,21.323163287947345,26.65,normal
73,0.0,3,32.44,Office Supplies,Africa,Consumer,Standard Class,Central Asia,6,2,16.699806445178176,12.19,normal
172,0.0,6,98.78,Technology,US,Consumer,Second Class,Southeast Asia,1,1,19.9329315003246,34.28,normal
489,0.1,6,0.0,Technology,EMEA,Consumer,First Class,Africa,11,4,12.439426834959955,60.83,normal
292,0.0,2,57.52,Furniture,APAC,Home Office,Second Class,South,7,3,13.569971348185765,39.62,normal
90,0.0,4,37.82,Office Supplies,EU,Consumer,Standard Class,Central,6,2,12.598228972955685,11.34,normal
283,0.0,1,41.5,Office Supplies,EU,Consumer,Standard Class,South,8,3,14.071470342218312,39.82,normal
335,0.0,1,99.28,Technology,EU,Consumer,Standard Class,North,11,4,18.57601271090603,62.23,normal
121,0.0,2,68.35,Office Supplies,APAC,Home Office,Standard Class,South,3,1,15.83254757664567,19.16,normal
278,0.0,5,42.92,Furniture,US,Corporate,Standard Class,North,11,4,12.96056356476562,36.03,normal
258,0.2,6,0.0,Office Supplies,EU,Corporate,Standard Class,Central,12,4,2.5849941539508663,6.67,normal
98,0.1,5,0.0,Office Supplies,US,Home Office,Standard Class,Caribbean,12,4,7.8677297966090105,7.71,normal
328,0.2,5,19.34,Furniture,EU,Consumer,First Class,Central,7,3,9.473313849132895,31.07,normal
386,0.0,5,31.73,Office Supplies,APAC,Corporate,Standard Class,Central Asia,5,2,17.720361818797194,68.4,normal
586,0.0,2,0.0,Office Supplies,US,Consumer,Second Class,North Asia,6,2,16.239442427857867,95.16,normal
572,0.7,4,164.56,Office Supplies,APAC,Consumer,Second Class,North,6,2,-27.69962549461918,-158.44,normal
81,0.0,5,113.26,Furniture,EMEA,Home Office,Standard Class,West,4,2,10.64634351916837,8.62,normal
116,0.0,5,60.88,Office Supplies,US,Corporate,First Class,EMEA,9,3,14.607598218819133,16.94,normal
372,0.0,6,30.5,Furniture,APAC,Consumer,Standard Class,Oceania,8,3,12.87848653076005,47.91,normal
371,0.0,5,14.22,Office Supplies,Africa,Consumer,Standard Class,South,11,4,9.358693367810755,34.72,normal
372,0.0,4,0.0,Technology,EU,Corporate,Second Class,South,1,1,13.291831213875948,49.45,normal
5375,0.0,6,30.82,Furniture,APAC,Consumer,Standard Class,Africa,9,3,10.089352833183128,542.3,normal
389,0.2,3,41.14,Office Supplies,US,Consumer,Second Class,North,11,4,3.621418310335706,14.09,normal
611,0.0,1,0.0,Office Supplies,LATAM,Consumer,Standard Class,Africa,11,4,14.282180558544447,87.26,normal
528,0.2,3,45.52,Office Supplies,US,Consumer,First Class,South,12,4,7.434363678298453,39.25,normal
415,0.4,2,17.48,Technology,EMEA,Corporate,Standard Class,EMEA,10,4,-10.447190360987307,-43.36,normal
191,0.6,2,0.0,Office Supplies,Africa,Consumer,Second Class,Central,12,4,-23.254036408810112,-44.42,normal
452,0.1,3,0.0,Technology,EU,Consumer,Standard Class,Central,6,2,16.560275222973303,74.85,normal
132,0.002,2,2.68,Office Supplies,EU,Consumer,Second Class,South,8,3,15.27335797402544,20.16,normal
203,0.0,3,134.53,Office Supplies,US,Home Office,Second Class,Central,1,1,17.654527748403474,35.84,normal
167,0.0,1,58.26,Office Supplies,APAC,Consumer,Standard Class,Central,1,1,21.15374082980839,35.33,normal
263,0.0,4,0.0,Office Supplies,EU,Consumer,Second Class,Southeast Asia,5,2,12.918586746294533,33.98,normal
1570,0.2,3,54.22,Office Supplies,EU,Consumer,Standard Class,Central,3,1,2.7020569866239037,42.42,normal
55,0.5,2,0.0,Furniture,APAC,Corporate,First Class,Oceania,5,2,-18.817280702792615,-10.35,normal
426,0.0,5,88.41,Technology,EU,Corporate,Standard Class,South,4,2,12.136220986550173,51.7,normal
67,0.47,6,0.0,Office Supplies,EMEA,Corporate,First Class,East,1,1,-14.131190411267907,-9.47,normal
168,0.0,1,21.01,Furniture,EMEA,Home Office,First Class,North,12,4,14.643186562141995,24.6,normal
589,0.47,2,102.34,Technology,APAC,Corporate,Standard Class,South,1,1,-8.578231374563277,-50.53,normal
259,0.0,2,0.0,Furniture,APAC,Corporate,Standard Class,North,10,4,13.857249508164031,35.89,normal
104,0.0,1,0.0,Office Supplies,LATAM,Consumer,Standard Class,EMEA,4,2,13.873473058081501,14.43,normal
139,0.0,5,0.0,Office Supplies,EMEA,Consumer,First Class,Africa,12,4,13.031708291983076,18.11,normal
424,0.0,3,85.87,Office Supplies,APAC,Home Office,Standard Class,Central,12,4,18.807767015695863,79.74,normal
137,0.0,3,0.0,Technology,US,Consumer,Standard Class,Canada,9,3,16.50804856092699,22.62,normal
293,0.0,1,0.0,Office Supplies,APAC,Consumer,First Class,EMEA,10,4,15.882246116379642,46.53,normal
255,0.4,5,0.53,Office Supplies,US,Corporate,Standard Class,EMEA,1,1,-8.509995957967385,-21.7,normal
146,0.0,1,57.99,Office Supplies,LATAM,Consumer,Second Class,West,12,4,19.385151048771355,28.3,normal
1369,0.0,4,95.15,Office Supplies,US,Corporate,Standard Class,EMEA,12,4,17.91423707301708,245.25,normal
409,0.2,4,0.0,Office Supplies,LATAM,Corporate,Standard Class,East,12,4,-0.8857758620013625,-3.62,normal
48,0.1,7,2.8,Office Supplies,US,Consumer,Second Class,North,9,3,5.43734049967488,2.61,normal
286,0.0,1,92.49,Office Supplies,LATAM,Home Office,Standard Class,West,6,2,16.736729454207403,47.87,normal
145,0.0,1,0.0,Technology,US,Consumer,Standard Class,Central,12,4,17.8069870578625,25.82,normal
487,0.0,4,4.11,Furniture,EMEA,Consumer,First Class,East,6,2,10.634484648138708,51.79,normal
130,0.0,8,37.29,Technology,APAC,Corporate,Standard Class,West,9,3,21.046883651983414,27.36,normal
224,0.1,6,52.11,Furniture,EMEA,Corporate,Same Day,Central,3,1,6.562378146266733,14.7,normal
369,0.0,4,0.0,Technology,EU,Corporate,Same Day,Central,12,4,18.15737216066833,67.0,normal
492,0.0,2,28.35,Office Supplies,APAC,Consumer,Standard Class,South,3,1,17.339485922265148,85.31,normal
94,0.1,5,0.0,Office Supplies,EU,Corporate,Standard Class,Caribbean,5,2,7.874673015169306,7.4,normal
188,0.0,1,0.0,Technology,APAC,Consumer,Second Class,South,9,3,22.705556956417663,42.69,normal
168,0.2,5,52.36,Technology,US,Home Office,Standard Class,North,11,4,3.635857130300976,6.11,normal
146,0.0,5,0.0,Office Supplies,US,Consumer,Standard Class,Central,9,3,16.970787199026265,24.78,normal
1012,0.27,6,29.76,Office Supplies,APAC,Corporate,Second Class,EMEA,5,2,3.1014985159795314,31.39,normal
340,0.0,10,51.98,Office Supplies,EU,Consumer,Standard Class,Africa,1,1,10.8681135321837,36.95,normal
